Fecha: 2025-12-09
Hora: 14:13:40
"Canales activos: CH1=True, CH2=False, CH3=False"
Operación: Ninguna
Trigger: Desactivado
Tiempo (s),CH1 (V),CH2 (V),CH3 (V),Operación (V)
0.851928,0.259,nan,nan,nan
0.854648,0.1955,nan,nan,nan
0.857368,0.2444,nan,nan,nan
0.860088,0.3666,nan,nan,nan
0.862808,0.479,nan,nan,nan
0.865532,0.5083,nan,nan,nan
0.868248,0.4301,nan,nan,nan
0.870968,0.303,nan,nan,nan
0.873696,0.2053,nan,nan,nan
0.876408,0.2102,nan,nan,nan
0.879128,0.3177,nan,nan,nan
0.881848,0.4448,nan,nan,nan
0.884568,0.5132,nan,nan,nan
0.887288,0.4692,nan,nan,nan
0.890008,0.347,nan,nan,nan
0.892728,0.2297,nan,nan,nan
0.895448,0.1955,nan,nan,nan
0.898168,0.2737,nan,nan,nan
0.900888,0.4057,nan,nan,nan
0.903608,0.4985,nan,nan,nan
0.906336,0.4985,nan,nan,nan
0.909048,0.3959,nan,nan,nan
0.911768,0.2639,nan,nan,nan
0.914488,0.1955,nan,nan,nan
0.917208,0.2395,nan,nan,nan
0.919928,0.3617,nan,nan,nan
0.922648,0.479,nan,nan,nan
0.925368,0.5132,nan,nan,nan
0.928088,0.4399,nan,nan,nan
0.930808,0.3079,nan,nan,nan
0.933528,0.2102,nan,nan,nan
0.936248,0.2102,nan,nan,nan
0.938968,0.3128,nan,nan,nan
0.941688,0.4399,nan,nan,nan
0.944408,0.5083,nan,nan,nan
0.947128,0.4741,nan,nan,nan
0.949848,0.3568,nan,nan,nan
0.952576,0.2346,nan,nan,nan
0.955288,0.2004,nan,nan,nan
0.958008,0.2688,nan,nan,nan
0.960736,0.3959,nan,nan,nan
0.963448,0.4985,nan,nan,nan
0.966168,0.4985,nan,nan,nan
0.968888,0.4008,nan,nan,nan
0.971608,0.2737,nan,nan,nan
0.974328,0.1955,nan,nan,nan
0.977048,0.2346,nan,nan,nan
0.979768,0.3519,nan,nan,nan
0.982488,0.4692,nan,nan,nan
0.985208,0.5132,nan,nan,nan
0.987928,0.4399,nan,nan,nan
0.990648,0.3128,nan,nan,nan
0.993376,0.2151,nan,nan,nan
0.996088,0.2053,nan,nan,nan
0.998808,0.3079,nan,nan,nan
1.001528,0.435,nan,nan,nan
1.004332,0.5132,nan,nan,nan
1.00714,0.4692,nan,nan,nan
1.009944,0.347,nan,nan,nan
1.012748,0.2297,nan,nan,nan
1.015556,0.2004,nan,nan,nan
1.01836,0.2835,nan,nan,nan
1.021164,0.4203,nan,nan,nan
1.023968,0.5083,nan,nan,nan
1.026776,0.479,nan,nan,nan
1.02958,0.3617,nan,nan,nan
1.032384,0.2395,nan,nan,nan
1.035188,0.1955,nan,nan,nan
1.037992,0.2737,nan,nan,nan
1.0408,0.4057,nan,nan,nan
1.043604,0.5034,nan,nan,nan
1.046408,0.4888,nan,nan,nan
1.049212,0.3812,nan,nan,nan
1.05202,0.2493,nan,nan,nan
1.054828,0.1955,nan,nan,nan
1.057628,0.259,nan,nan,nan
1.060436,0.391,nan,nan,nan
1.06324,0.4985,nan,nan,nan
1.066052,0.4985,nan,nan,nan
1.068848,0.3959,nan,nan,nan
1.071652,0.2688,nan,nan,nan
1.07446,0.1955,nan,nan,nan
1.077264,0.2444,nan,nan,nan
1.080068,0.3715,nan,nan,nan
1.082872,0.4839,nan,nan,nan
1.08568,0.5034,nan,nan,nan
1.088484,0.4154,nan,nan,nan
1.091288,0.2786,nan,nan,nan
1.094096,0.2004,nan,nan,nan
1.0969,0.2297,nan,nan,nan
1.099704,0.3519,nan,nan,nan
1.102508,0.4741,nan,nan,nan
1.105312,0.5083,nan,nan,nan
1.10812,0.4301,nan,nan,nan
1.110924,0.2933,nan,nan,nan
1.113728,0.2053,nan,nan,nan
1.116536,0.2248,nan,nan,nan
1.11934,0.3372,nan,nan,nan
1.122144,0.4643,nan,nan,nan
1.124948,0.5132,nan,nan,nan
1.127752,0.4448,nan,nan,nan
1.130564,0.3128,nan,nan,nan
1.133364,0.2151,nan,nan,nan
1.136168,0.2151,nan,nan,nan
1.138976,0.3226,nan,nan,nan
1.14178,0.4545,nan,nan,nan
1.144584,0.5132,nan,nan,nan
1.147388,0.4594,nan,nan,nan
1.1502,0.3275,nan,nan,nan
1.153,0.2151,nan,nan,nan
1.155804,0.2053,nan,nan,nan
1.158608,0.303,nan,nan,nan
1.161416,0.435,nan,nan,nan
1.16422,0.5132,nan,nan,nan
1.167024,0.4692,nan,nan,nan
1.169828,0.347,nan,nan,nan
1.172636,0.2248,nan,nan,nan
1.17544,0.2053,nan,nan,nan
1.178244,0.2884,nan,nan,nan
1.181048,0.4203,nan,nan,nan
1.183852,0.5034,nan,nan,nan
1.18666,0.4839,nan,nan,nan
1.189464,0.3617,nan,nan,nan
1.192268,0.2395,nan,nan,nan
1.19508,0.1955,nan,nan,nan
1.19788,0.2737,nan,nan,nan
1.200684,0.4057,nan,nan,nan
1.203488,0.5034,nan,nan,nan
1.206296,0.4936,nan,nan,nan
1.2091,0.3812,nan,nan,nan
1.211904,0.2493,nan,nan,nan
1.214712,0.1955,nan,nan,nan
1.217512,0.259,nan,nan,nan
1.22032,0.391,nan,nan,nan
1.223124,0.4936,nan,nan,nan
1.225928,0.5034,nan,nan,nan
1.228736,0.3959,nan,nan,nan
1.23154,0.2639,nan,nan,nan
1.234344,0.1955,nan,nan,nan
1.237148,0.2444,nan,nan,nan
1.239952,0.3763,nan,nan,nan
1.24276,0.4888,nan,nan,nan
1.245564,0.5034,nan,nan,nan
1.248368,0.4106,nan,nan,nan
1.251172,0.2786,nan,nan,nan
1.25398,0.2004,nan,nan,nan
1.256784,0.2346,nan,nan,nan
1.259596,0.3568,nan,nan,nan
1.262392,0.4741,nan,nan,nan
1.2652,0.5083,nan,nan,nan
1.268004,0.4301,nan,nan,nan
1.270808,0.2933,nan,nan,nan
1.273616,0.2053,nan,nan,nan
1.27642,0.2248,nan,nan,nan
1.279232,0.3372,nan,nan,nan
1.282028,0.4643,nan,nan,nan
1.284832,0.5132,nan,nan,nan
1.28764,0.4448,nan,nan,nan
1.290444,0.3128,nan,nan,nan
1.293248,0.2102,nan,nan,nan
1.296056,0.2151,nan,nan,nan
1.29886,0.3177,nan,nan,nan
1.301664,0.4497,nan,nan,nan
1.304468,0.5181,nan,nan,nan
1.307276,0.4594,nan,nan,nan
1.31008,0.3324,nan,nan,nan
1.312884,0.2151,nan,nan,nan
1.315688,0.2053,nan,nan,nan
1.318496,0.303,nan,nan,nan
1.3213,0.435,nan,nan,nan
1.324108,0.5132,nan,nan,nan
1.326908,0.4692,nan,nan,nan
1.329716,0.3421,nan,nan,nan
1.33252,0.2248,nan,nan,nan
1.335324,0.2004,nan,nan,nan
1.338128,0.2884,nan,nan,nan
1.340936,0.4252,nan,nan,nan
1.34374,0.5083,nan,nan,nan
1.346544,0.479,nan,nan,nan
1.349348,0.3666,nan,nan,nan
1.352156,0.2395,nan,nan,nan
1.35496,0.2004,nan,nan,nan
1.357764,0.2737,nan,nan,nan
1.360568,0.4057,nan,nan,nan
1.363372,0.5034,nan,nan,nan
1.36618,0.4888,nan,nan,nan
1.368984,0.3812,nan,nan,nan
1.371788,0.2493,nan,nan,nan
1.374596,0.1955,nan,nan,nan
1.3774,0.259,nan,nan,nan
1.380204,0.3861,nan,nan,nan
1.383008,0.4985,nan,nan,nan
1.385816,0.4985,nan,nan,nan
1.388624,0.3959,nan,nan,nan
1.391424,0.2639,nan,nan,nan
1.394228,0.2004,nan,nan,nan
1.397036,0.2444,nan,nan,nan
1.39984,0.3715,nan,nan,nan
1.402644,0.4888,nan,nan,nan
1.405448,0.5083,nan,nan,nan
1.408252,0.4106,nan,nan,nan
1.41106,0.2786,nan,nan,nan
1.413864,0.2004,nan,nan,nan
1.416668,0.2346,nan,nan,nan
1.419476,0.3568,nan,nan,nan
1.42228,0.479,nan,nan,nan
1.425084,0.5083,nan,nan,nan
1.427888,0.4301,nan,nan,nan
1.430692,0.2933,nan,nan,nan
1.4335,0.2004,nan,nan,nan
1.436304,0.2248,nan,nan,nan
1.439108,0.3421,nan,nan,nan
1.441916,0.4643,nan,nan,nan
1.444716,0.5083,nan,nan,nan
1.447524,0.4448,nan,nan,nan
1.450328,0.3079,nan,nan,nan
1.45314,0.2053,nan,nan,nan
1.45594,0.2151,nan,nan,nan
1.458744,0.3177,nan,nan,nan
1.461548,0.4497,nan,nan,nan
1.464352,0.5132,nan,nan,nan
1.46716,0.4594,nan,nan,nan
1.469964,0.3275,nan,nan,nan
1.472776,0.2151,nan,nan,nan
1.475576,0.2053,nan,nan,nan
1.47838,0.303,nan,nan,nan
1.481184,0.4399,nan,nan,nan
1.483988,0.5083,nan,nan,nan
1.486792,0.4692,nan,nan,nan
1.4896,0.347,nan,nan,nan
1.492404,0.2248,nan,nan,nan
1.495208,0.2004,nan,nan,nan
1.498012,0.2884,nan,nan,nan
1.50082,0.4203,nan,nan,nan
1.503624,0.5083,nan,nan,nan
1.506428,0.479,nan,nan,nan
1.509236,0.3617,nan,nan,nan
1.51204,0.2346,nan,nan,nan
1.514844,0.1955,nan,nan,nan
1.517656,0.2737,nan,nan,nan
1.520456,0.4057,nan,nan,nan
1.52326,0.5034,nan,nan,nan
1.526064,0.4888,nan,nan,nan
1.528868,0.3812,nan,nan,nan
1.531676,0.2493,nan,nan,nan
1.53448,0.1955,nan,nan,nan
1.537284,0.259,nan,nan,nan
1.540088,0.391,nan,nan,nan
1.542896,0.4936,nan,nan,nan
1.5457,0.4985,nan,nan,nan
1.548512,0.3959,nan,nan,nan
